カスタムリーダー,名前,ユーザ名,バトルタグ,参加形態,duoの場合の相方,,第一希望ロール,第二希望ロール,第三希望ロール,タンクのレート,ダメージのレート,サポートのレート,CS,インフルエンサー,配信NG,Aブロック,Bブロック,Cブロック,Dブロック
FALSE,こじロー,kojiro4329,Kojiro#11287,ソロ,,FALSE,ダメージ,,,,3400,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,逆殳しゃち,syatihoko0817,ぱっくまん#1334,ソロ,,FALSE,タンク,,,3600,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,雪メ(せらてる),yuk1me_,雪メ#3961,ソロ,,FALSE,サポート,,,,,3000,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,koroma,koroma,koroma#11370,ソロ,,FALSE,ダメージ,,,,3800,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,かぼちゃpumpkin,kabotyapumpkin,pumpkin#12242,ソロ,,FALSE,タンク,,,2200,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,おそら,.osora,いぬと和解せよ #1405,デュオ,ななせ,FALSE,ダメージ,,,,1400,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,MOA#11842,ソロ,,FALSE,サポート,,,,,1500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,喜枝コビト,kizishikobito,喜枝コビトＶＴ#3198,デュオ,橙華まり,FALSE,タンク,,,2600,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,大河,taiga_stg,大河#11198,ソロ,,FALSE,タンク,,,3200,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,アゼスト,azesuto,AZESUTO085#3879,ソロ,,FALSE,サポート,,,,,2500,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,きんぐあれくさ,kingalexa,kingalexattv#1911,ソロ,,FALSE,サポート,,,,,2400,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,伊達巻きいすけ,datemakiysuke,kiy#31145,ソロ,,FALSE,サポート,,,,,1400,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,uiro,uiro.,uoro#3241,デュオ,しー,FALSE,ダメージ,,,,2100,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,かいと,かいと#9216,KAICHANN#3442,ソロ,,FALSE,タンク,,,4100,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,,,Recru1t#11631,ソロ,,FALSE,サポート,,,,,3900,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ひば,t4ke4,t4kec#1414,ソロ,,FALSE,サポート,,,,,3300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,ゆたのーる,yttriumy,YttriumY#1377,ソロ,,FALSE,タンク,,,4200,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TRUE,絆創膏。,絆創膏。#3611,絆創膏#3363,デュオ,あき,FALSE,サポート,,,,,2700,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,たけもき,panmotu,ハモンドゥ#3943,ソロ,,FALSE,ダメージ,,,,2500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,芳乃　わがし,yoshinowagashi,芳乃わがし#3293,ソロ,,FALSE,サポート,,,,,2600,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,licht,licht2334,tragidia#31593,ソロ,,FALSE,ダメージ,,,,3300,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,あかさた,akasata777,あかさた＃3523,ソロ,,FALSE,タンク,,,3500,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,あず,azucrptwo29,AZUcrptwo28#3808,ソロ,,FALSE,タンク,,,2000,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,まんだらけ。,mandarake555,曼荼羅家#3378,ソロ,,FALSE,サポート,,,,,4300,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,かめのまる,totorogohan,totorogohan#1551,デュオ,夜待ニアル,FALSE,ダメージ,,,,4500,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
